date,logret
2015-01-06,-0.001056
2015-01-07,0.004215
2015-01-08,-0.002105
2015-01-09,0.003156
2015-01-12,-0.003156
2015-01-13,-0.005283
2015-01-14,-0.002121
2015-01-15,0.000000
2015-01-16,0.000000
2015-01-20,0.008457
2015-01-21,0.005249
2015-01-22,-0.002096
2015-01-23,0.004188
2015-01-26,0.007288
2015-01-27,0.000000
2015-01-28,-0.010427
2015-01-29,0.004184
2015-01-30,-0.011548
2015-02-02,0.000000
2015-02-03,0.010505
2015-02-04,0.001044
2015-02-05,-0.002090
2015-02-06,-0.002094
2015-02-09,0.001047
2015-02-10,0.004179
2015-02-11,0.000000
2015-02-12,0.001042
2015-02-13,-0.001043
2015-02-17,0.001042
2015-02-18,0.004158
2015-02-19,0.003107
2015-02-20,0.000000
2015-02-23,0.003097
2015-02-24,0.002060
2015-02-25,0.002056
2015-02-26,0.002051
2015-02-27,0.004090
2015-03-02,0.002039
2015-03-03,0.002035
2015-03-04,0.002031
2015-03-05,0.002026
2015-03-06,0.001011
2015-03-09,0.002020
2015-03-10,0.002016
2015-03-11,-0.001008
2015-03-12,0.001007
2015-03-13,0.002012
2015-03-16,-0.003020
2015-03-17,0.001007
2015-03-18,-0.001008
2015-03-19,0.002014
2015-03-20,-0.002014
2015-03-23,0.003019
2015-03-24,0.003010
2015-03-25,0.002002
2015-03-26,0.001000
2015-03-27,0.001996
2015-03-30,-0.002995
2015-03-31,0.001998
2015-04-01,0.002990
2015-04-02,0.000995
2015-04-06,-0.000994
2015-04-07,0.000995
2015-04-08,0.000994
2015-04-09,0.000000
2015-04-10,-0.000993
2015-04-13,-0.000994
2015-04-14,0.001988
2015-04-15,-0.001988
2015-04-16,0.000995
2015-04-17,0.001986
2015-04-20,0.001982
2015-04-21,0.000000
2015-04-22,0.000000
2015-04-23,-0.001982
2015-04-24,0.000000
2015-04-27,0.000992
2015-04-28,0.000991
2015-04-29,0.000990
2015-04-30,0.000989
2015-05-01,0.001974
2015-05-04,-0.000986
2015-05-05,0.001972
2015-05-06,-0.001972
2015-05-07,-0.000987
2015-05-08,0.000000
2015-05-11,0.000988
2015-05-12,0.001972
2015-05-13,0.001968
2015-05-14,-0.001969
2015-05-15,0.000985
2015-05-18,0.000000
2015-05-19,-0.000984
2015-05-20,0.001968
2015-05-21,0.001965
2015-05-22,0.000981
2015-05-26,0.000980
2015-05-27,0.000000
2015-05-28,0.000000
2015-05-29,0.002934
2015-06-01,0.001951
2015-06-02,0.000000
2015-06-03,0.001947
2015-06-04,-0.000973
2015-06-05,0.002917
2015-06-08,0.001940
2015-06-09,0.000969
2015-06-10,-0.000968
2015-06-11,0.000969
2015-06-12,0.000968
2015-06-15,-0.000967
2015-06-16,-0.000968
2015-06-17,0.000969
2015-06-18,-0.003880
2015-06-19,0.002911
2015-06-22,0.003869
2015-06-23,0.001929
2015-06-24,0.000000
2015-06-25,0.000000
2015-06-26,-0.000963
2015-06-29,-0.009690
2015-06-30,0.002917
2015-07-01,0.007737
2015-07-02,-0.000963
2015-07-06,0.004810
2015-07-07,0.000000
2015-07-08,-0.001921
2015-07-09,-0.001925
2015-07-10,0.003847
2015-07-13,0.001917
2015-07-14,0.000000
2015-07-15,0.000000
2015-07-16,-0.000958
2015-07-17,0.000959
2015-07-20,0.000000
2015-07-21,0.001914
2015-07-22,0.001910
2015-07-23,0.000000
2015-07-24,0.000000
2015-07-27,-0.003824
2015-07-28,0.004778
2015-07-29,0.000000
2015-07-30,0.000953
2015-07-31,0.001903
2015-08-03,0.002848
2015-08-04,0.000000
2015-08-05,0.000000
2015-08-06,-0.000948
2015-08-07,0.001896
2015-08-10,-0.001896
2015-08-11,0.000949
2015-08-12,-0.002848
2015-08-13,0.002848
2015-08-14,-0.000948
2015-08-17,0.000000
2015-08-18,0.000000
2015-08-19,0.001896
2015-08-20,-0.008560
2015-08-21,-0.044929
2015-08-24,-0.100820
2015-08-25,0.045364
2015-08-26,0.031188
2015-08-27,0.001023
2015-08-28,0.002043
2015-08-31,0.006103
2015-09-01,-0.005084
2015-09-02,0.024171
2015-09-03,0.001988
2015-09-04,-0.002983
2015-09-08,0.009911
2015-09-09,0.000000
2015-09-10,0.004919
2015-09-11,0.003917
2015-09-14,0.002929
2015-09-15,-0.000975
2015-09-16,0.000976
2015-09-17,-0.000975
2015-09-18,0.003894
2015-09-21,0.006780
2015-09-22,0.000000
2015-09-23,0.001929
2015-09-24,-0.000963
2015-09-25,0.000964
2015-09-28,-0.002894
2015-09-29,0.003858
2015-09-30,-0.000962
2015-10-01,0.001925
2015-10-02,-0.006754
2015-10-05,-0.004852
2015-10-06,0.003883
2015-10-07,-0.000969
2015-10-08,-0.002914
2015-10-09,0.002914
2015-10-12,0.004838
2015-10-13,0.000000
2015-10-14,0.000965
2015-10-15,0.000000
2015-10-16,0.001927
2015-10-19,0.002883
2015-10-20,-0.000960
2015-10-21,0.000000
2015-10-22,-0.007715
2015-10-23,-0.011685
2015-10-26,0.000000
2015-10-27,0.001957
2015-10-28,-0.003918
2015-10-29,0.000000
2015-10-30,0.001961
2015-11-02,0.000000
2015-11-03,-0.003926
2015-11-04,0.000000
2015-11-05,0.002946
2015-11-06,0.003914
2015-11-09,-0.000977
2015-11-10,0.003902
2015-11-11,0.000000
2015-11-12,-0.002925
2015-11-13,-0.002934
2015-11-16,0.004885
2015-11-17,-0.001951
2015-11-18,-0.001955
2015-11-19,0.000000
2015-11-20,0.003906
2015-11-23,0.004861
2015-11-24,0.000000
2015-11-25,0.001938
2015-11-27,0.000968
2015-11-30,0.000967
2015-12-01,0.000570
2015-12-02,0.001003
2015-12-03,-0.002008
2015-12-04,0.003010
2015-12-07,0.001001
2015-12-08,-0.001002
2015-12-09,-0.003011
2015-12-10,0.002008
2015-12-11,-0.020264
2015-12-14,0.014228
2015-12-15,-0.004044
2015-12-16,0.002024
2015-12-17,0.007053
2015-12-18,-0.004024
2015-12-21,0.009032
2015-12-22,0.002993
2015-12-23,-0.000996
2015-12-24,0.000997
2015-12-28,0.001990
2015-12-29,-0.002986
2015-12-30,0.000000
2015-12-31,0.000000
2016-01-04,-0.003996
2016-01-05,0.005988
2016-01-06,0.000995
2016-01-07,-0.013006
2016-01-08,-0.006060
2016-01-11,0.020060
2016-01-12,0.004953
2016-01-13,-0.001978
2016-01-14,0.000000
2016-01-15,-0.005959
2016-01-19,0.005958
2016-01-20,-0.008951
2016-01-21,0.001996
2016-01-22,0.003980
2016-01-25,0.007913
2016-01-26,-0.001972
2016-01-27,0.005906
2016-01-28,0.001961
2016-01-29,-0.011823
2016-02-01,0.004943
2016-02-02,0.005900
2016-02-03,-0.002945
2016-02-04,0.000983
2016-02-05,0.003921
2016-02-08,-0.006873
2016-02-09,0.000985
2016-02-10,0.003929
2016-02-11,-0.002945
2016-02-12,0.004904
2016-02-16,-0.000978
2016-02-17,-0.012815
2016-02-18,0.008889
2016-02-19,0.006859
2016-02-22,-0.000977
2016-02-23,0.002929
2016-02-24,-0.003907
2016-02-25,-0.000978
2016-02-26,0.000979
2016-02-29,0.005854
2016-03-01,-0.008794
2016-03-02,0.001961
2016-03-03,-0.001961
2016-03-04,-0.002948
2016-03-07,0.000984
2016-03-08,0.000000
2016-03-09,0.000983
2016-03-10,0.004900
2016-03-11,-0.006867
2016-03-14,0.005889
2016-03-15,0.001955
